Epolye id,First,name,TRIM ,age,country,language,primary_skill,years_of_experience
FL250001,Ms.Nicole,kidd,Ms.Nicole,52,Italy,Italian,Blockchain Development,11
FL250002,Vanessa,Garcia,Vanessa,52,Australia,English,Mobile Apps,34
FL250003,Juan,Nelson,Juan,53,Germany,Germany,Graphic Design,31
FL250004,Amanda,Spencer,Amanda,38,Australia,English,Web Development,4
FL250005,Lynn,Curtis dds,Lynn,53,Germany,Germany,AI,27
FL250006,Lisa,Johnson,Lisa,59,Netherlands,Dutch,AI,14
FL250007,Eric,Myers,Eric,52,Indonesia,Indonesian,Data Analysis,10
FL250008,Ricky,Graham,Ricky,43,Italy,Italian,Blockchain Development,14
FL250009,Sean,Martin,Sean,26,US,English,Blockchain Development,4
FL250010,Matthew,Lloyd,Matthew,52,Turkey,Turkish,AI,22
FL250011,Gavin,Randall,Gavin,40,UK,English,Data Analysis,17
FL250012,Michelle,Curtis,Michelle,55,Argentina,Spanish,UI/UX Design,15
FL250013,Alice,Schneider,Alice,57,UK,English,Cybersecurity,18
FL250014,Phillip,Shelton,Phillip,38,Spain,Spanish,Graphic Design,20
FL250015,Edward,Ferguson,Edward,50,Germany,Germany,Data Analysis,22
FL250016,Wyatt,Stout,Wyatt,42,Japan,Japanese,Machine Learning,0
FL250017,Laura,Johnson,Laura,39,Australia,English,DevOps,13
FL250018,Scott,Burns,Scott,56,India,Hindi,Blockchain Development,0
FL250019,Tyler,Aguirre,Tyler,56,US,English,UI/UX Design,31
FL250020,Matthew,Lawson,Matthew,57,Italy,Italian,Web Development,3
FL250021,James,Cherry,James,,Indonesia,Indonesian,AI,9
FL250022,Samuel,Sanford,Samuel,51,Japan,Japanese,DevOps,0
FL250023,Cesar,Greene,Cesar,51,Brazil,Portuguese,Cybersecurity,21
FL250024,Melanie,Carter,Melanie,51,South Korea,Korean,Machine Learning,15
FL250025,Jennifer,Martin,Jennifer,54,Indonesia,Indonesian,Machine Learning,13
FL250026,Anna,Mccann,Anna,22,South Korea,Korean,DevOps,0
FL250027,Marissa,Bass,Marissa,34,Japan,Japanese,Blockchain Development,8
FL250028,Alexis,Day,Alexis,36,Russia,Russian,Graphic Design,11
FL250029,Megan,Jones,Megan,47,Canada,English,AI,22
FL250030,Lori,Smith,Lori,41,Netherlands,Dutch,Data Analysis,14
FL250031,Eric,Carpenter,Eric,22,Netherlands,Dutch,DevOps,4
FL250032,Timothy,Daniels,Timothy,38,France,French,Machine Learning,19
FL250033,Robert,Nelson,Robert,46,Egypt,Arabic,AI,9
FL250034,Michael,Anderson,Michael,,South Korea,Korean,AI,9
FL250035,Jessica,Snyder,Jessica,54,US,English,Web Development,32
FL250036,Emily,Daniels,Emily,52,South Korea,Korean,Blockchain Development,28
FL250037,Jamie,Ramirez,Jamie,42,Japan,Japanese,Mobile Apps,6
FL250038,Amy,Harrison,Amy,29,Netherlands,Dutch,Graphic Design,10
FL250039,Melinda,White,Melinda,42,South Africa,Afrikaans,Mobile Apps,23
FL250040,James,Hernandez,James,60,Japan,Japanese,Web Development,13
FL250041,Angelica,Rogers,Angelica,59,UK,English,AI,3
FL250042,Savannah,Williams,Savannah,21,Canada,English,Web Development,0
FL250043,Kaitlyn,Schmidt,Kaitlyn,35,Germany,Germany,DevOps,10
FL250044,Jason,Singh,Jason,41,UK,English,Data Analysis,0
